id;start_date;end_date;language
1;2024-11-28T00:27:14;2024-11-28T09:24:59;FRENCH
2;2024-11-27T20:16:37;2024-11-27T23:30:21;FRENCH
3;2024-11-27T17:47:31;2024-11-27T23:36:19;FRENCH
4;2024-11-28T11:45:20;2024-11-28T08:42:57;SPANISH
5;2024-11-28T09:33:50;2024-11-28T01:01:16;SPANISH
6;2024-11-27T21:38:14;2024-11-28T12:40:24;FRENCH
7;2024-11-28T02:16:37;2024-11-28T09:11:42;SPANISH
8;2024-11-28T09:04:05;2024-11-27T15:56:28;SPANISH
9;2024-11-28T01:23:44;2024-11-28T04:07:31;FRENCH
10;2024-11-27T15:38:13;2024-11-28T02:50:16;FRENCH
